website;performance;accessibility;seo;best-practices
speednames.asia;0.86;0.89;0.82;0.73
designmantic.com;0.55;0.89;0.92;0.93
amoozesh365.ir;0.31;0.79;0.83;0.8
makaan.com;0.61;0.95;0.92;0.6
aqweeb.com;0.65;0.81;0.92;0.73
paradowski.com;0.63;0.95;0.9;0.87
craftsyhacks.com;1;0.98;0.91;0.87
becker.com;0.56;0.99;0.92;0.73
lexus.ca;0.35;0.98;0.91;0.73
secretmag.ru;0.23;0.84;0.83;0.73
emojio.ru;0.57;0.81;1;0.67
zenmontessori.com;0.94;0.99;0.91;0.87
playlister.club;0.26;0.78;0.82;0.73
punjablivenews.in;0.13;0.8;0.83;0.73
esu.edu.sa;0.24;0.71;0.64;0.8
ruralbr.com.br;0.97;1;1;1
techarmor.com;0.61;0.89;0.82;0.73
ndv.ru;0.26;0.8;1;0.87
namhyafoods.com;0.39;0.9;0.83;0.73
asiabet.org;0.65;0.69;0.83;0.87
koombea.com;0.85;0.94;0.92;0.93
amanjacademy.com;0.45;0.59;0.83;0.8
morgridge.org;0.78;1;1;1
techrato.com;0.76;0.72;1;0.87
dogpre.com;0.31;0.9;1;0.8
sputnik-abkhazia.ru;0.69;0.89;0.92;0.67
galichu.com;0.14;0.88;1;0.73
thecloudblog.net;0.99;0.98;1;1
ourcommunitynow.com;0.65;0.83;0.92;0.73
twsaver.com;0.99;0.92;1;0.87
wikidana.com;0.76;0.82;0.91;0.87
paytmmoney.com;0.96;0.91;0.92;0.8
binomo-webtrading.com;0.68;0.45;0.82;0.93
pijnacker-nootdorp.nl;0.9;1;0.92;1
gamestar.hu;0.9;0.89;0.83;0.8
ritetag.com;0.61;0.87;0.73;0.73
manualspdf.ru;0.88;0.9;1;1
wish.com;0.97;0.94;1;1
discoveratlanta.com;0.44;1;0.92;0.73
youberup.com;0.94;0.83;0.92;0.93
alternatehistory.com;0.97;0.98;1;1
nursexfilme.com;1;1;1;1
instasaved.net;0.93;0.77;0.91;0.67
militaryimages.net;0.76;0.87;0.92;0.93
netplus.ch;0.72;0.93;0.83;0.93
ventureharbour.com;0.83;0.7;0.83;0.87
rpr1.de;0.65;0.82;1;0.8
express-bank.ru;0.68;0.85;0.9;0.87
rtlmost.hu;0.88;0.76;1;0.87
miniteh.com;0.94;0.59;0.82;0.53
hatley.com;0.55;0.82;0.75;0.73
playdoit.mx;0.41;0.78;0.92;0.87
bigbang.si;0.58;0.8;0.82;0.67
mockupbro.com;0.91;0.76;0.9;0.87
russianbridess.com;0.97;0.78;0.92;0.8
so.city;0.85;0.96;1;0.93
moenchengladbach.de;0.81;0.96;0.92;0.73
news.sportbox.ru;0.69;0.69;0.75;0.73
a.tvksa.com;1;1;1;0.87
raid-codex.com;0.92;0.85;1;0.73
akispetretzikis.com;0.7;0.67;0.67;0.6
pianetamamma.it;0.98;0.7;0.83;0.87
justisafourletterword.com;0.89;0.91;1;0.87
malatyanethaber.com.tr;0.88;0.77;0.92;0.8
michaelbigalke.de;0.8;0.9;0.82;0.87
travelingwellforless.com;0.98;0.93;1;0.93
energieschweiz.ch;0.98;0.93;1;0.93
playcentral.de;0.94;0.73;0.83;0.8
gahar.ir;0.8;0.95;0.92;0.8
konga.com;0.58;0.88;0.82;0.73
sahm.io;0.26;0.71;0.91;0.93
meridianenergy.co.nz;0.97;0.68;0.83;0.73
pointspot.co;0.85;0.96;1;0.87
mirabilandia.it;0.58;0.77;0.7;0.73
flixboss.com;0.85;0.96;1;0.87
vayama.com;0.6;0.73;0.83;0.93
jawharafm.net;0.91;0.63;0.82;0.47
visugpx.com;0.87;0.88;0.82;0.93
rosebikes.de;0.46;0.96;1;1
filmeserialegratis.org;0.96;0.98;1;1
shubhgems.com;0.41;0.78;0.83;0.73
wecare.gr;0.56;0.87;1;0.67
charlestoncrafted.com;0.96;0.95;1;1
investmentmoats.com;1;0.94;1;0.8
ru-geld.de;1;0.97;1;1
hamrah.academy;0.73;0.78;0.82;0.93
sisligenchatun.com;0.81;0.74;0.82;0.8
bosco.ru;0.79;0.72;0.83;0.67
investmani.ru;0.42;0.67;0.92;0.73
syarah.com;0.72;0.58;0.73;0.67
thefrugalsouth.com;0.96;0.92;1;0.87
mortgagecalculatorwithpmi.com;0.85;0.8;0.92;0.8
coverr.co;0.93;0.93;1;1
pleinchamp.com;0.8;0.73;1;0.87
mamstartup.pl;0.81;0.75;1;0.87
lewdgamer.com;0.63;0.78;0.7;0.93
usethinkscript.com;0.94;0.89;0.83;0.87
vickyflipfloptravels.com;1;0.8;1;0.87
d4swing.com;0.88;0.53;0.91;0.93
scardu.com;0.86;0.97;0.92;0.93
concilio.com;0.94;0.93;0.92;0.8
bangkokbanksme.com;0.58;0.82;0.73;0.8
petplan.co.uk;0.95;0.96;0.92;0.8
oxxio.nl;0.69;0.9;0.92;0.73
gdpr-eu.unroll.me;1;0.96;0.9;0.93
walkerplus.com;0.73;0.81;0.83;0.6
justmop.com;0.77;0.72;0.75;0.8
plugins4free.com;0.77;0.83;1;0.87
khabarban.com;0.96;0.67;0.92;0.73
showroom.pl;0.8;0.73;0.82;0.73
telelistas.net;0.91;0.75;0.92;0.87
mundogames.com;0.59;0.72;0.75;0.8
lvbankonline.in;0.5;0.9;0.82;0.8
portalsamorzadowy.pl;0.88;0.67;0.82;0.87
my-question.ru;0.81;0.8;0.91;0.93
poliquiz.it;0.89;0.89;0.91;1
hapi.dev;0.98;0.97;1;0.93
lew.de;0.83;0.68;0.92;0.93
vxxx.com;0.97;0.87;1;0.93
universal-traveller.com;0.98;0.95;1;1
neonwallet.com;0.89;0.76;0.8;1
hope-sthlm.com;0.94;0.84;0.8;0.87
yakimiha.ru;0.93;0.72;0.83;0.87
vip-times.co.jp;0.66;0.75;0.82;0.8
foodgressing.com;0.99;0.98;1;1
fmrockandpop.com;0.84;0.56;0.92;0.73
5afayaradio.com;1;0.66;0.9;0.93
happykitchen.rocks;1;0.95;0.83;1
zebra-qr.com;0.99;0.79;0.82;0.73
slotwolf.com;0.27;0.64;0.9;0.73
parents.fr;0.8;0.86;0.92;0.87
naavtotrasse.ru;0.85;0.88;1;0.73
mcmfaucets.xyz;0.37;0.85;0.73;0.73
theincircle.com;0.43;0.77;0.92;0.67
picnic-brand.com;0.45;0.8;0.83;0.73
musicaenmexico.com.mx;0.84;0.88;0.83;0.87
twtpoll.com;0.69;0.78;0.82;1
chevyavalanchefanclub.com;0.92;0.96;0.92;1
goraldine.com;0.88;0.75;0.75;0.8
realmadrid.com;0.79;0.89;0.83;0.73
yeknam.com;0.58;0.73;0.82;0.73
fitguru.training;0.95;0.98;1;0.81
venturecapitaljournal.com;0.7;0.82;0.75;0.73
misadventureswithandi.com;0.86;0.97;1;0.93
middleeasy.com;0.99;0.93;1;1
afexnigeria.com;0.79;0.98;1;0.87
ferienwohnungen-ferienhaeuser-weltweit.de;1;0.96;0.9;0.87
kopiaste.org;1;0.88;0.92;1
casino.chanz.com;0.92;0.68;0.91;0.8
investorshangout.com;0.68;0.8;0.75;0.67
easyprompter.com;0.91;0.6;0.82;0.93
edinburghlive.co.uk;0.67;0.88;0.82;0.73
unionlido.com;0.87;0.87;0.92;0.8
oakpark.com;0.91;0.87;0.92;1
motoredbikes.com;0.89;0.87;0.92;0.93
pulseem.com;0.76;0.93;0.83;0.8
mercator.si;0.69;0.89;0.91;0.93
flyingblue.fr;0.63;0.91;1;0.93
xentr.net;0.93;0.84;0.92;1
rus-zoloto.com;0.51;0.71;0.91;0.73
babiato.co;0.99;0.89;1;1
mojosavings.com;0.78;0.78;1;0.87
concernsofpolicesurvivors.org;0.71;0.7;0.75;0.73
kooapp.com;0.82;0.9;1;0.87
quotespedia.org;0.94;0.89;0.92;0.8
gojom.pe;0.76;0.76;0.83;0.8
highlandscurrent.org;0.71;0.79;0.83;0.67
kitset.ir;1;0.89;1;0.8
airport-parking-shop.co.uk;1;0.67;0.92;1
eciu.net;0.75;0.91;0.91;0.87
scot.nhs.uk;0.71;0.87;0.73;0.93
getmemex.com;0.95;0.85;0.7;0.93
techobserver.in;0.64;0.94;0.83;0.67
joom.com;0.66;0.85;1;0.93
fuckcombustion.com;0.9;0.98;1;1
comuesp.com;0.7;0.7;0.83;0.73
cinecolombia.com;0.62;0.81;0.75;0.73
ukrainemailorderbrides.net;0.91;0.79;0.83;0.87
techbeasts.com;0.77;0.95;1;0.8
paperwritings.com;0.7;0.76;0.92;0.8
grandparissud.fr;0.43;0.64;0.7;0.67
tengrinews.kz;0.94;0.93;1;0.87
indiansexstories2.net;0.97;0.85;1;0.93
yves-rocher.pl;0.81;0.79;0.73;0.73
backtomysouthernroots.com;1;0.98;1;1
alkmaar.nl;0.93;1;0.83;0.87
etondigital.com;0.86;0.97;0.92;0.93
justetf.com;0.97;0.84;0.83;0.87
royall.ir;0.68;0.65;0.83;0.73
paroshat.com;0.78;0.78;0.83;0.8
gifft.me;0.98;0.97;0.92;0.93
windows10forums.com;0.93;0.94;0.92;1
pagepersonnel.es;0.76;0.96;0.92;0.8
europe-tp.com;0.91;0.88;1;0.8
buyoutsinsider.com;0.69;0.88;0.83;0.73
america-today.com;0.68;0.95;1;0.8
humanitix.com;0.64;0.79;0.91;0.93
imna.ir;0.81;0.62;0.83;0.8
flashalert.me;0.48;0.72;0.9;0.87
ucuzabilet.com;0.79;0.72;0.83;0.73
pluxscore.com.ng;0.93;0.61;0.82;0.87
kiss100.co.ke;0.6;0.65;0.83;0.73
timeout.co.il;0.8;0.87;0.92;0.67
thepatriots.asia;0.84;0.82;0.92;0.8
fishforums.net;0.62;0.82;0.91;1
andermatt-sedrun-disentis.ch;0.58;0.74;0.82;0.8
workwearexpress.com;0.53;0.82;0.92;0.8
teplokarta.ru;0.72;0.82;0.92;0.73
poshinprogress.com;0.96;0.92;0.83;0.87
construction.autodesk.com;0.67;0.88;0.83;0.87
gandommusic.ir;0.91;0.79;0.92;1
aukro.cz;0.43;0.87;0.92;0.8
offshore-companies.co.uk;0.93;0.9;0.82;0.93
seotoaster.com;0.31;0.66;0.83;0.8
sapporobeer.com;0.76;0.82;0.73;0.87
letsknowit.com;0.76;0.84;0.91;0.73
cgi.com;0.97;0.91;0.75;0.73
shriramcity.in;0.84;0.78;0.83;0.87
tipaxco.com;0.6;0.74;0.82;0.6
opelim.net;0.96;0.82;0.92;0.93
metricon.com.au;0.65;0.91;0.92;0.8
elementorforum.com;0.96;0.95;0.92;1
bfgoodrich.co.id;0.6;0.77;0.91;0.73
retailrocket.ru;0.94;0.7;0.83;0.67
aclsco.com;0.99;0.98;0.91;1
techvatan.com;0.96;0.77;1;0.93
goragod.com;0.74;0.87;1;0.8
collingwoodtoday.ca;0.85;0.98;1;0.73
zadovoljna.si;0.86;0.78;0.82;0.67
president.gov.by;0.91;0.95;0.91;0.93
turbo.fr;0.8;0.93;0.92;0.73
sunnah.one;1;0.8;1;0.93
mecatechnic.com;0.93;0.83;0.75;0.8
greyder.com;0.42;0.76;0.75;0.87
chamedanmag.com;0.92;0.88;0.91;0.8
guelphtoday.com;0.92;1;1;0.73
nacionrex.com;0.93;0.89;0.92;0.81
se.fitness24seven.com;0.99;0.91;0.92;0.8
grasslandbeef.com;0.47;0.81;0.82;0.73
optotax.com;0.71;0.96;1;0.8
moot.us;0.76;0.78;0.83;0.87
ferendum.com;0.98;0.88;0.64;1
techexcel.com;0.65;0.86;0.75;0.87
onlinetours.ru;0.48;0.85;0.82;0.73
insurancedekho.com;0.97;0.97;1;0.8
revistazunai.com.br;0.93;0.85;1;0.73
liverpoolecho.co.uk;0.69;0.93;0.91;0.73
absolventa.de;0.99;0.83;0.91;0.87
seriebnews.com;0.97;0.8;1;0.8
vtvvitla.com;0.71;0.73;0.67;0.67
bidopin.com;0.43;0.75;0.83;0.8
falnic.com;0.61;0.85;0.83;0.87
listglobally.com;0.56;0.82;0.73;0.8
ean.org;0.93;0.89;0.92;0.87
horizon.vn;0.67;0.93;1;0.75
happyly.com;0.74;0.95;0.91;0.8
greenpointers.com;0.8;0.81;0.73;1
syndicate.casino;0.63;0.94;1;0.87
cocinatis.com;0.79;0.96;1;0.73
yggdrasilgaming.com;0.97;0.96;1;1
railforums.co.uk;0.98;0.86;1;0.93
pekao24.pl;0.55;0.78;0.92;0.87
street-one.de;0.35;0.82;0.91;0.87
otojurnalisme.com;0.7;0.79;0.92;0.6
freegames.org;0.86;0.78;0.92;0.87
chicorei.com;0.67;0.98;1;0.87
pagar.me;0.79;0.84;0.91;0.8
sarkariresulte.in;1;0.59;0.83;0.87
rmf24.pl;0.84;0.7;0.82;0.8
home.saxo;0.93;0.89;0.83;0.93
158.69.0.201;0.64;0.86;1;0.8
nacionflix.com;0.96;0.89;0.92;0.81
esh-derevenskoe.ru;0.79;0.63;0.82;0.73
turbopop.com.br;0.63;0.83;0.9;0.87
goodreturns.in;0.69;0.82;0.67;0.53
diaryofatorontogirl.com;1;0.95;0.92;1
whatwebcando.today;1;0.97;1;1
eghtesadnews.com;0.78;0.87;1;0.73
0221.com.ar;0.57;0.85;0.82;0.53
personalmoneystore.com;0.86;0.97;1;0.93
moskisvet.com;0.89;0.79;0.91;0.8
meilisearch.com;0.95;0.87;1;0.93
cutesycrafts.com;0.95;0.86;0.75;0.93
mp3lyric.us;0.86;0.69;0.82;0.87
coca-cola.com.br;0.62;0.81;0.91;0.87
tuckerfox.com.au;0.71;0.8;0.75;1
cryptofundresearch.com;0.7;0.76;0.75;0.8
ncsemena.ru;0.25;0.68;0.82;0.6
rpginitiative.com;0.72;0.82;0.75;0.93
todayupdate.in;0.68;0.88;0.83;0.93
scuk.cz;0.85;0.67;0.82;0.8
landflip.com;0.9;0.96;0.92;0.87
armeniasputnik.am;0.85;0.81;0.83;0.67
wsb.edu.pl;0.57;0.82;0.91;0.67
filmespornos.net;1;0.82;1;0.93
tuliptime.com;0.99;0.92;0.92;1
aoc-esp.com;0.95;0.96;1;1
thetelecomshop.com;0.92;0.82;0.83;0.73
lawspot.gr;0.98;0.88;0.92;0.93
gbodyforum.com;0.81;0.82;1;0.69
binomoid.org;0.86;0.45;0.82;0.93
sepulsa.com;0.58;0.97;1;0.93
huntworld.ru;0.5;0.96;0.91;0.8
buylike.ir;0.96;0.96;0.91;1
ffm.to;0.54;0.62;0.82;0.73
dallasobserver.com;0.51;0.63;0.83;0.67
primechaniya.ru;0.86;0.68;0.82;0.8
coiney.com;0.61;0.94;1;0.8
physique57.com;0.97;0.88;0.83;0.8
barnsley.gov.uk;0.82;0.91;0.82;0.87
yaldagames.com;0.82;0.49;0.82;0.67
whoogle.in;0.48;0.89;0.8;0.67
shipveho.com;0.96;0.71;0.9;0.93
dbl.id;0.46;0.77;0.73;0.6
osquery.io;0.77;0.92;0.89;0.93
allquransurah.ru;0.83;0.89;1;0.8
cutshort.io;0.77;0.59;0.82;0.8
norgeibilder.no;0.59;0.64;0.7;0.6
moslenta.ru;0.63;0.95;0.92;0.73
likewise.com;0.51;0.82;1;0.73
disqo.com;0.72;0.95;0.75;0.53
osoulmisrmagazine.com;0.79;0.79;0.8;0.73
hive.io;0.99;0.84;0.82;0.87
fitnessvolt.com;0.92;0.94;1;1
maanpuolustus.net;0.95;0.88;1;0.93
kialo.com;0.69;0.88;0.83;1
menoramivt.co.il;0.82;0.75;0.92;0.87
ricebowl.my;0.21;0.56;0.83;0.73
cuadernosdeseguridad.com;0.66;0.77;0.83;0.67
sandinmysuitcase.com;0.88;0.95;0.83;0.93
lithuaniatribune.com;0.58;0.92;0.82;0.93
grocerapp.pk;0.39;0.98;1;0.87
devoir.tn;0.66;0.84;0.92;0.6
wintrillions.com;0.46;0.83;0.73;0.87
napkforpc.com;0.99;0.94;1;0.93
etstur.com;0.94;0.69;0.83;0.67
domko.com;0.81;0.82;0.92;0.8
newser.com;0.81;0.76;0.83;0.67
hampshirelive.news;0.64;0.96;0.92;0.73
mosigra.ru;0.73;0.76;0.83;0.67
ilajak.com;0.91;0.91;1;0.93
xxxsex.rocks;0.9;0.77;0.83;0.8
odb.org;0.43;0.95;0.92;0.8
unicef.it;0.88;0.7;0.92;0.93
tv6tnt.com;0.67;0.88;0.75;0.87
sturdy.co;0.95;1;1;0.93
mjurnal.com;0.9;0.98;1;0.93
atlasofthefuture.org;0.72;0.67;0.67;0.73
findauction.in;0.88;0.93;1;0.87
hurtel.com;0.92;0.74;0.75;0.8
taw-bio.ir;1;0.63;1;0.87
direttanews.it;0.7;0.86;1;0.8
recordrentacar.com;0.78;0.92;1;0.87
allaboutlaw.co.uk;0.74;0.86;0.83;0.8
kenniscentrumsportenbewegen.nl;0.86;1;1;0.93
thefeed.com;0.86;0.79;0.92;0.73
kiit.ac.in;0.7;0.84;0.75;0.87
khanebosch.com;0.81;0.85;0.92;0.87
stockoptionschannel.com;0.49;0.53;0.82;0.6
gingerwithspice.com;0.99;0.9;0.92;0.93
costanachrichten.com;0.98;0.99;0.92;0.88
zicasso.com;0.94;0.94;0.83;0.93
hondaswap.com;0.99;0.98;1;1
jaarbeurs.nl;0.9;0.92;0.92;0.73
vremea.ido.ro;0.96;0.78;0.92;0.93
botox.com;0.82;1;0.92;0.93
taniaksiazka.pl;1;0.79;0.73;0.93
hattanmedia.com;0.8;0.59;0.83;0.8
yakimaherald.com;0.7;0.73;0.67;0.87
pramborsfm.com;0.48;0.83;0.92;0.73
quienlamo.com;0.9;0.86;1;0.87
alkatreszek.hu;0.8;0.71;1;0.8
berrymaple.com;0.94;0.97;1;1
schwaebische-post.de;0.98;0.96;0.92;0.88
farnhammaltings.com;1;0.96;0.9;1
atl.ua;0.52;0.8;0.83;0.67
wcooky.ru;0.54;0.87;1;0.87
vipnation.com;0.25;0.77;0.91;0.8
inflectra.com;0.77;0.91;1;1
mannheim24.de;0.94;0.94;0.92;0.81
dare2compete.com;0.66;0.98;1;0.93
baytoday.ca;0.96;0.98;1;0.67
personalfn.com;0.29;0.6;0.75;0.53
topdealad.com;0.9;0.99;0.91;0.93
piluli.kharkov.ua;0.96;0.79;0.82;0.8
ultimate-guitar.com;0.63;0.78;0.91;0.87
newyorksafetycouncil.com;0.82;0.98;1;0.93
autogidas.lt;0.87;0.82;1;0.73
wam.app;0.96;0.82;1;0.87
antvklik.com;0.58;0.88;0.92;0.73
hsh.com;0.92;0.79;0.83;0.8
armtv.org;0.93;0.73;1;0.73
map.closer2event.com;0.87;0.81;0.91;0.93
dossierfamilial.com;0.92;0.84;1;0.87
pengetahuankita.com;0.71;0.95;0.83;1
eltern.de;0.87;0.93;0.92;0.93
carucubere.ro;0.85;0.84;0.83;0.8
tusij.com;0.48;0.88;0.83;0.73
jobformore.com;0.89;0.73;1;0.8
kriti360.gr;0.6;0.81;0.92;0.87
fitneass.com;0.9;0.82;1;0.8
scorum.com;0.52;0.67;0.9;0.87
srugim.co.il;0.66;0.68;0.83;0.53
thefthing.com;0.41;0.8;0.92;0.87
thebellyrulesthemind.net;1;0.97;0.92;0.93
thepopcornfactory.com;0.8;0.81;0.92;0.8
dogobooks.com;0.59;0.74;0.73;0.87
99alternatives.com;0.21;0.79;0.83;0.73
etsglobal.org;0.8;0.93;0.91;0.93
nodejs.dev;0.99;0.97;1;1
e.infogram.com;0.79;0.85;0.75;0.87
onlinecompanyregister.com;0.9;0.86;0.75;0.73
vimeo-downloader.com;0.89;0.82;1;0.87
spafinder.com;0.36;0.95;0.91;0.73
instanthub.net;0.66;0.8;0.73;0.73
saltstrong.com;0.72;0.77;0.83;0.87
